"('shift', 0, 'down')","('T', 172, 'down')","('shift', 282, 'up')","('t', 297, 'up')","('h', 329, 'down')","('h', 391, 'up')","('a', 485, 'down')","('a', 579, 'up')","('n', 1313, 'down')","('n', 1391, 'up')","('k', 1485, 'down')","('k', 1610, 'up')","('s', 1625, 'down')","('s', 1719, 'up')","(' ', 1860, 'down')","(' ', 1969, 'up')","('4', 2063, 'down')","('4', 2141, 'up')","(' ', 2454, 'down')","(' ', 2563, 'up')","('f', 2594, 'down')","('f', 2672, 'up')","('i', 2860, 'down')","('i', 2922, 'up')","('s', 2954, 'down')","('s', 3047, 'up')","('h', 3094, 'down')","('h', 3172, 'up')"
"('shift', 0, 'down')","('T', 188, 'down')","('shift', 266, 'up')","('h', 313, 'down')","('t', 328, 'up')","('h', 391, 'up')","('a', 516, 'down')","('a', 641, 'up')","('n', 656, 'down')","('n', 735, 'up')","('k', 1235, 'down')","('k', 1313, 'up')","('s', 1344, 'down')","('s', 1438, 'up')","(' ', 1750, 'down')","(' ', 1891, 'up')","('4', 1953, 'down')","('4', 2047, 'up')","(' ', 2172, 'down')","(' ', 2297, 'up')","('f', 2641, 'down')","('f', 2688, 'up')","('i', 2844, 'down')","('i', 2922, 'up')","('s', 2938, 'down')","('s', 3000, 'up')","('h', 3078, 'down')","('h', 3141, 'up')"
"('shift', 0, 'down')","('T', 187, 'down')","('shift', 250, 'up')","('h', 265, 'down')","('t', 312, 'up')","('h', 359, 'up')","('a', 515, 'down')","('n', 578, 'down')","('a', 609, 'up')","('n', 671, 'up')","('k', 843, 'down')","('k', 937, 'up')","('s', 1000, 'down')","('s', 1046, 'up')","(' ', 1390, 'down')","(' ', 1531, 'up')","('4', 1921, 'down')","('4', 2015, 'up')","(' ', 2125, 'down')","(' ', 2250, 'up')","('f', 2312, 'down')","('f', 2406, 'up')","('i', 2546, 'down')","('i', 2593, 'up')","('s', 2625, 'down')","('s', 2718, 'up')","('h', 2796, 'down')","('h', 2875, 'up')"
"('shift', 0, 'down')","('T', 188, 'down')","('shift', 266, 'up')","('t', 313, 'up')","('h', 328, 'down')","('h', 391, 'up')","('a', 531, 'down')","('n', 594, 'down')","('a', 625, 'up')","('n', 703, 'up')","('k', 1188, 'down')","('k', 1266, 'up')","('s', 1297, 'down')","('s', 1391, 'up')","(' ', 1516, 'down')","(' ', 1641, 'up')","('4', 1875, 'down')","('4', 1953, 'up')","(' ', 2078, 'down')","(' ', 2188, 'up')","('f', 2735, 'down')","('f', 2797, 'up')","('i', 2922, 'down')","('i', 3000, 'up')","('s', 3031, 'down')","('s', 3110, 'up')","('h', 3203, 'down')","('h', 3281, 'up')"
"('shift', 0, 'down')","('T', 204, 'down')","('shift', 250, 'up')","('h', 313, 'down')","('t', 329, 'up')","('h', 375, 'up')","('a', 485, 'down')","('a', 563, 'up')","('n', 579, 'down')","('n', 657, 'up')","('k', 735, 'down')","('k', 813, 'up')","('s', 860, 'down')","('s', 938, 'up')","(' ', 1266, 'down')","(' ', 1391, 'up')","('4', 1829, 'down')","('4', 1907, 'up')","(' ', 2063, 'down')","(' ', 2172, 'up')","('f', 2375, 'down')","('f', 2407, 'up')","('i', 2516, 'down')","('i', 2579, 'up')","('s', 2657, 'down')","('s', 2735, 'up')","('h', 2797, 'down')","('h', 2875, 'up')"
"('shift', 0, 'down')","('T', 172, 'down')","('shift', 250, 'up')","('t', 297, 'up')","('h', 297, 'down')","('h', 375, 'up')","('a', 484, 'down')","('n', 562, 'down')","('a', 578, 'up')","('n', 656, 'up')","('k', 750, 'down')","('k', 812, 'up')","('s', 953, 'down')","('s', 1031, 'up')","(' ', 1312, 'down')","(' ', 1422, 'up')","('4', 1531, 'down')","('4', 1625, 'up')","(' ', 2031, 'down')","(' ', 2140, 'up')","('f', 2156, 'down')","('f', 2234, 'up')","('i', 2328, 'down')","('i', 2390, 'up')","('s', 2422, 'down')","('s', 2500, 'up')","('h', 2594, 'down')","('h', 2656, 'up')"
"('shift', 0, 'down')","('T', 187, 'down')","('shift', 234, 'up')","('t', 312, 'up')","('h', 328, 'down')","('h', 421, 'up')","('a', 531, 'down')","('a', 625, 'up')","('n', 640, 'down')","('n', 734, 'up')","('k', 953, 'down')","('k', 1031, 'up')","('s', 1062, 'down')","('s', 1140, 'up')","(' ', 1578, 'down')","(' ', 1718, 'up')","('4', 1843, 'down')","('4', 1937, 'up')","(' ', 2078, 'down')","(' ', 2187, 'up')","('f', 2203, 'down')","('f', 2250, 'up')","('i', 2406, 'down')","('i', 2515, 'up')","('s', 2562, 'down')","('s', 2640, 'up')","('h', 2671, 'down')","('h', 2750, 'up')"
"('shift', 0, 'down')","('T', 125, 'down')","('shift', 203, 'up')","('h', 234, 'down')","('t', 297, 'up')","('h', 328, 'up')","('a', 531, 'down')","('a', 640, 'up')","('n', 1125, 'down')","('n', 1203, 'up')","('k', 1297, 'down')","('k', 1390, 'up')","('s', 1437, 'down')","('s', 1515, 'up')","(' ', 1609, 'down')","(' ', 1719, 'up')","('4', 1781, 'down')","('4', 1875, 'up')","(' ', 1984, 'down')","(' ', 2109, 'up')","('f', 2125, 'down')","('f', 2203, 'up')","('i', 2312, 'down')","('i', 2390, 'up')","('s', 2453, 'down')","('h', 2547, 'down')","('s', 2562, 'up')","('h', 2625, 'up')"
"('shift', 0, 'down')","('T', 156, 'down')","('shift', 250, 'up')","('h', 313, 'down')","('t', 313, 'up')","('h', 391, 'up')","('a', 500, 'down')","('n', 547, 'down')","('a', 609, 'up')","('n', 641, 'up')","('k', 766, 'down')","('k', 891, 'up')","('s', 938, 'down')","('s', 1031, 'up')","(' ', 1328, 'down')","(' ', 1453, 'up')","('4', 1594, 'down')","('4', 1688, 'up')","(' ', 1797, 'down')","(' ', 1922, 'up')","('f', 1938, 'down')","('f', 2031, 'up')","('i', 2141, 'down')","('i', 2219, 'up')","('s', 2297, 'down')","('s', 2391, 'up')","('h', 2406, 'down')","('h', 2469, 'up')"
"('shift', 0, 'down')","('T', 203, 'down')","('shift', 281, 'up')","('h', 328, 'down')","('t', 359, 'up')","('h', 422, 'up')","('a', 1313, 'down')","('a', 1391, 'up')","('n', 1438, 'down')","('n', 1531, 'up')","('k', 1734, 'down')","('k', 1797, 'up')","('s', 1922, 'down')","('s', 2016, 'up')","(' ', 2219, 'down')","(' ', 2344, 'up')","('4', 2359, 'down')","('4', 2438, 'up')","(' ', 2563, 'down')","(' ', 2672, 'up')","('f', 2688, 'down')","('f', 2750, 'up')","('i', 2859, 'down')","('i', 2953, 'up')","('s', 2984, 'down')","('s', 3078, 'up')","('h', 3109, 'down')","('h', 3188, 'up')"
